Movie Name,Box Office Collection,Budget (Cost+ P&A),Verdict 
Stree 2,425.5 Crore,60 Crore,Hit
Stree 2 ( Day 18),440 to 445 Crore,60 Crore,Hit
Khel Khel Mein,30.4 Crore,100 Crore,Hit
Vedaa,20.35 Crore,60 Crore,Hit
Kalki 2898,620.8 Crore,620 Crore,Hit
Kalki 2898 (Hindi),272.2 Crore,620 Crore,Hit
Laila Majnu ( Re ? Release),4.5 Crore,20 Crore,Disaster
It Ends With Us,5.1 Crore,209 Crore,Flop
Auron Mein Kahan Dum Tha,11.15 Crore,100 Crore,Disaster
Ulajh,8.6 Crore,50 Crore,Disaster
Deadpool & Wolverine,121.75 Crore,1674 Crore,Hit
Bad Newz,60.6 Crore,80 Crore,Flop
Sarfira,21.2 Crore,100 Crore,Disaster
Twisters,5.4 Crore,1674 Crore,Flop
Indian 2 ( Hindi),5.8 Crore,300 Crore,Disaster
Jatt & Juliet 3 (Punjabi),38 Crore,12 Crore,Hit
Despicable Me 4,9.25 Crore,835 Crore,Average
Chandu Champion,62.35 Crore,120 Crore,Flop
Munjya,84.45 Crore,30 Crore,Hit
Ishq Vishk Rebound,4.8 Crore,20 Crore,Flop
Inside Out 2,16.9 Crore,1671 Crore,Hit
Rockstar (Re-release),8.8 Crore,66 Crore,Average
Mr and Mrs Mahi,34.17 Crore,50 Crore,Flop
Srikanth,43.28 Crore,50 Crore,Average
Bad Boys 4,2.9 Crore,834 Crore,Flop
Savi,6.36 Crore,29 Crore,Flop
Bhaiyya Ji,9.2 Crore,20 Crore,Flop
Furiosa Mad Max Saga,12.8 Crore,1396 Crore,Flop
Kingdom of Planet of Apes,21.8 Crore,1336 Crore,Average
Garfield,5.8 Crore,499 Crore,Flop
IF,0.64 Crore,916 Crore,Flop
Heera Mandi,12.4 Million Views,250 Crore,Hit
Bade Miyan Chote Miyan,60.6 Crore,360 Crore,Disaster
Maidaan,51.24 Crore,240 Crore,Disaster
The Fall Guy,4.5 Crore,1084 Crore,Flop
Ruslaan,4.25 Crore,20 Crore,Flop
Do Aur Do Pyaar,4.9 Crore,40 Crore,Flop
Love Sex Aur Dhokha 2,0.8 Crore,20 Crore,Disaster
Crew,76.35 Crore,90 Crore,Flop
Godzilla x Kong,104 Crore,1126 Crore,Hit
Shaitaan,144.4 Crore,90 Crore,Hit
Madgaon Express,31 Crore,30 Crore,Average
Veer Savarkar,20.65 Crore,20 Crore,Average
Yodha,30.6 Crore,66 Crore,Flop
Article 370,69.4 Crore,40 Crore,Hit
Kung Fu Panda 4,36 Crore,704 Crore,Hit
Teri Baaton Mein Aisa Uljha Jiya,78 Crore,85 Crore,Average
Laapata Ladies,15.94 Crore,40 Crore,Flop
Dune 2,14.44 Crore,1580 Crore,Average
Crakk,12.6 Crore,80 Crore,Flop
Fighter,200.1 Crore,200 Crore,Hit
Hanu Man (Hindi),50.76 Crore,50 Crore,Super Hit
Dunki,212.8 Crore,200 Crore,Hit
Main Atal Hoon,6.4 Crore,25 Crore,Flop
Merry Christmas,16 Crore,60 Crore,Disaster
Salaar (Hindi),148.49 Crore,80 Crore,Hit
Animal,555.9 Crore,200 Crore,All Time Blockbuster
Aquaman 2,12.4 Crore,1666 Crore,Flop
Sam Bahadur,89.62 Crore,65 Crore,Hit
The Archies,2.2 Million Views,45 Crore,Flop
Tiger 3,285.56 Crore,300 Crore,Average
Joram,0.34 Crore,25 Crore,Flop
Farrey,1.95 Crore,20 Crore,Flop
Napoleon,5.6 Crore,1666 Crore,Flop
Khichdi 2,5.2 Crore,15 Crore,Flop
YRF Railway Men,5.2 Million Views,45 Crore,Average
Shilpa?s Sukhee,1.65 Crore (2.3 Million Views),25 Crore,Flop
India Match,2.85 Crore,?,?
12th Fail,51.93 Crore,25 Crore,Hit
Leo (Tamil),334.85 Crore,285 Crore,Blockbuster
Jawan (All Language),644.2 Crore,300 Crore,All Time Blockbuster
Jawan (Netflix),12.6 Million Views,300 Crore,All Time Blockbuster
Hunger Games 5,0.92 Crore,832 Crore,Flop
Pippa,3.9 Million Views,65 Crore,Flop
Apurva,4.1 Million Views,25 Crore,Average
The Marvels,11.04 Crore,2249 Crore,Flop
Aankh Micholi,1.2 Crore,15 Crore,Flop
